title|author|genre|tags|summary|media|publish|adult|thumbnail_small|thumbnail_big|link
오란고교 호스트부|하토리 비스코,|순정,학원,|고등학생,|이제는 F4가 아니라 F6다! 자아도취 왕자병 환자, 냉철한 두뇌파, 사랑스러운 슈가 보이, 과묵한 터프가이, 잔머리의 황제 쌍둥이 악동들까지 … 부자들만 다니는 명문 사립 오란고교. 오란고교의 최상층 제3음악실 그곳에는 호스트부가 있었다? 하루히는 실수로 8만엔 짜리 꽃병을 깨게 되고, 그 빛을 갚기 위해 억지로 호스트부의 부원이 되는데 …|학산문화사|0|0|http://image.yes24.com/goods/438734|http://image.yes24.com/goods/438734/L|http://www.yes24.com/24/goods/438734
사무라이 디퍼 쿄우 (SAMURAI DEEPER KYO)|카미죠 아키미네,|판타지,액션,|여행,모험,|전설적인 현상 수배자 교우는 기억상실에 걸린 쿄시로의 몸에 봉인된 자신의 몸을 되찾기 위해 여행을 떠나는데… 각각의 이유로 이 여행에 동참하게 된 유야, 히데타다, 유키 무리의 앞에는 어떤 일들이 펼쳐질까요? 일본 고단샤의 《주간 소년 매거진》에 연재되었던 카미죠 아키미네의 만화를 원작으로하여 제작된 애니메이션입니다. 2002년 7월, 일본 TV를 통해 방영을 개시한 대표적인 심야 애니메이션으로, 과격한 사극 액션물에 코믹성을 잘 섞은 흥미진진한 사무라이들의 스토리가 원작과는 또다른 재미를 더합니다.|홍진P&M|0|0|http://image.yes24.com/momo/TopCate55/MidCate01/5403060.jpg|http://image.yes24.com/goods/2368953/L|http://www.yes24.com/24/goods/2368953
RAVE 레이브|마시마 히로,|판타지,액션,|여행,모험,|개리지 섬에서 죽은 어머니의 무덤을 지키며 누나와 살아가고 있는 어느날 낚시를 하다가 이상한 생물을 낚게 된다. 과연...|학산문화사|0|0|http://image.yes24.com/momo/TopCate02/MidCate06/150450.jpg|http://image.yes24.com/goods/134326/L|http://www.yes24.com/24/goods/134326
테니스의 왕자|코노미 타케시,|스포츠,||제3시합, 단식2에 돌입한 전국대회 결승전. 2연패로 물러설 곳이 없는 세이슌에서 천재 후지가 코트 위의 사기꾼 니오와 치열한 싸움을 펼친다!! 일루전으로 데즈카로 가장한 니오에게 후지는 자신의 모든 것을 걸고 맞서는데…?!|대원|0|0|http://image.yes24.com/momo/TopCate63/MidCate08/6272195.jpg|http://image.yes24.com/goods/2955048/L|http://www.yes24.com/24/goods/2955048
고스트 바둑왕|홋타 유미,오바타 타케시,|드라마,||소년지 최초 바둑만화 『고스트 바둑왕』시리즈가 드디어 완결됐다. 한국전에서 대장으로 임명된 히카루는 최강, 고영하와 격돌한다. 아키라, 키요하루도 투지를 불태우며 대국에 임하는데... 과연 긴박감 넘치는 한일전의 행방은? 어린 기사들이 투지와 재능을 펼치며 임하는 '북두배편' 그 완결판.|서울문화사|0|0|http://image.yes24.com/momo/TopCate11/MidCate03/1022459.jpg|http://image.yes24.com/goods/405219/L|http://www.yes24.com/24/goods/405219
DEATH NOTE 데스 노트|오바 츠구미,오바타 타케시,|판타지,|죽음|그곳은 천국일까 지옥일까... 마침내 대치하게 된 라이토와 니아는 최종 결전의 날을 맞이한다! 두 사람이 제각기 밝히는 계략이란 대체 어떤 것일까. 지금, DEATH NOTE를 둘러싼 대결에 최후의 심판이 내린다!!|대원|0|0|http://image.yes24.com/momo/TopCate52/MidCate10/5190615.jpg|http://image.yes24.com/goods/2300409/L|http://www.yes24.com/24/goods/2312641
란마 1/2|타카하시 루미코,|개그,||사천년 역사를 지닌 중국 주천향에 지금,최대최악의 위기도래!! 만약 샘물이 말라버린다면 란마 일행의 변신체질은 영원한 불치병이 되고...|서울문화사|0|0|http://image.yes24.com/momo/TopCate42/MidCate09/4184530.jpg|http://image.yes24.com/goods/1408926/L|http://www.yes24.com/24/goods/1408926
바람의 검심|와츠키 노부히로,|시대극,무협,액션,||전국시대 이후 일본을 떠도는 바람 같은 사나이 켄신! 정의의 이름으로 유신지사들을 하나씩 처단해 나가는 그의 강력한 의지! 적과 동지를 구분할 수 없는 혼탁한 시대에서도 굴하지 않는 주인공 켄신! 초특급 고품질 색션 무험극화의 대명사|서울문화사|0|0|http://image.yes24.com/momo/TopCate02/MidCate03/122085.jpg|http://image.yes24.com/goods/105052/L|http://www.yes24.com/24/goods/105052
페이트 스테이 나이트 (Fate Stay night)|타입 문,니시와키 닷,|판타지,액션,||「-묻겠다, 그대가 나의 마스터인가?」 I have a secret that I haven't told you... I'm a Magi Three years after the death of his foster- father, strange events begin happening in town. and he finds himself drawn ito a battle between the Magi called masters|학산문화사|0|0|http://image.yes24.com/momo/TopCate61/MidCate04/6034960.jpg|http://image.yes24.com/goods/2841990/L|http://www.yes24.com/24/goods/2841990
루드비히 혁명|유키 카오리,|순정,||신부가 될 공주를 찾아 유랑을 계속하는 두뇌명석, 용모단정, 오만방자한 루드히비 왕자와 그의 시종 빌헬름. 하지만 좀처럼 이상형을 만나지 못하고 방랑을 계속한다. 한편, 루드히비 왕자의 부재를 틈타, 왕궁에서는 부왕의 사생아 유리우스가 비밀리에 루드히비 암살 계획을 세우는데...!!|대원|0|0|http://image.yes24.com/momo/TopCate57/MidCate05/5647350.jpg|http://image.yes24.com/goods/2637478/L|http://www.yes24.com/24/goods/2637478
