id|star|user_id|webtoon_id
1|50|2|3240
3|25|1|2167
4|30|1|2130
5|50|7|2302
6|50|7|2354
7|5|7|2384
8|45|1|2223
9|50|7|2435
10|5|7|2193
11|50|7|2218
12|50|7|2224
14|50|7|2156
16|50|1|2196
17|50|7|2180
18|50|7|2274
19|50|7|2070
20|35|1|2148
21|45|1|2191
22|45|1|2238
23|5|7|1998
24|40|1|2141
25|50|7|2134
26|50|7|2313
27|50|7|2252
28|50|7|2184
29|50|7|2316
30|50|7|2229
31|45|1|1977
32|35|1|2178
33|40|4|6
34|10|4|15
35|40|1|2529
36|10|4|22
37|50|7|2207
38|50|7|2208
39|45|4|43
40|50|7|2319
41|50|7|2466
42|50|7|2182
43|50|7|2187
44|50|7|2212
45|50|7|2231
46|45|1|2132
47|50|7|2263
48|50|7|2223
49|35|4|79
50|50|7|2397
51|40|1|2256
52|50|7|2413
53|50|1|1978
54|50|7|2044
55|50|7|2065
56|45|1|2359
57|5|4|116
58|50|7|2102
59|40|1|1980
60|40|3|2205
61|35|3|2259
62|35|1|2246
63|45|3|2066
64|40|3|1981
65|45|3|2110
66|40|3|2190
67|50|7|2369
68|40|3|2425
69|50|7|2373
70|50|7|2186
71|50|3|2306
72|40|3|2184
73|50|7|2433
74|35|3|2520
75|40|3|2174
77|50|3|1991
78|40|3|1976
79|50|7|2479
80|50|3|2468
81|50|3|2386
82|40|3|2136
83|5|7|2508
84|50|3|1977
85|50|7|2380
86|45|3|2383
87|35|3|2363
88|35|3|2207
89|45|3|2147
90|40|3|2397
91|45|3|2088
92|50|7|2407
93|50|7|2300
94|35|3|2365
95|45|3|2163
96|50|3|2202
97|50|3|1998
98|45|3|1988
99|45|3|2313
100|50|3|2248
101|5|7|2024
102|50|7|2232
104|5|7|2283
105|35|3|2232
106|50|7|2192
107|50|7|2298
108|50|7|2080
109|50|3|2032
110|50|7|2404
111|40|3|2356
112|50|7|2507
113|50|7|2064
114|50|3|2308
115|45|3|2212
116|50|3|2097
117|50|7|2478
118|40|3|2265
119|40|3|2141
120|40|3|2238
121|50|7|2266
122|50|7|2185
123|50|3|2245
124|50|7|2309
125|50|7|2238
126|50|7|2072
127|50|7|2320
128|50|7|2138
129|5|7|2253
130|45|3|2004
131|50|7|2079
132|35|3|2156
133|40|3|2348
134|40|3|1990
135|40|3|2146
136|45|3|2358
137|50|7|2405
138|45|3|2219
139|50|7|2565
140|40|3|2276
141|45|3|2303
142|40|3|2266
143|50|7|2162
144|50|7|2107
145|40|3|2423
146|50|7|2194
147|40|3|2237
148|45|3|2236
149|50|7|2367
150|50|7|2473
151|40|3|2158
152|50|7|2141
153|50|7|2490
154|50|7|2251
