title|author|genre|tags|summary|media|publish|adult|thumbnail_small|thumbnail_big|link
케세라세라|고나리자,수정,|로맨스,드라마,|성장,청춘,사고,|빚 없는 게 유일한 자랑인 건어물녀 하니가베프의 남동생 선준과 사고치다!삼포세대 청춘 성장 로맨스.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/6439791396126720/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6439791396126720/images/wide?width=1200|http://www.lezhin.com/ko/comic/queceracera
톡투미|은별,|로맨스,성인,|친구,행복,남자,사랑,연애,|잘생기고 매너좋은 남자친구 세찬으로 행복한 나날을 보내는 래임. 하지만 사랑하는 그와의 연애에도 한가지 불만이 있으니... 바로, 욕.구.불.만. 순수녀의 타이틀을 지키기 위해 항상 소극적이었던 세찬과의 잠자리. 이제 더이상 참을 수 없다! '세찬아, 라면.. 먹고 갈래?'|레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/6670658460712960/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6670658460712960/images/wide?width=1200|http://www.lezhin.com/ko/comic/talktome
너의 HEART를 나에게 줄래?|비아이,|로맨스,학원,|기억,사랑,학교,고등학교,|고등학교 입학식, 초등학교때 첫사랑이 었던 류원하가 싸가지 얼짱이 되어 눈앞에 나타났다! 하지만 원하는 나를 기억하지 못하고 무시하기만 하는데..? 진성유와 류원하의 엇갈리는 풋풋한 학원 로맨스!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/18/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/18/images/wide?width=1200|http://www.lezhin.com/ko/comic/giveme_ur_heart
김철수씨 이야기|수사반장,|미스터리,시대극,|한국,꿈,인간,인생,삶,마음,|인생이 이보다 더 불행할 수 있을까! 태어나자마자 쓰레기장에 버려진 김철수씨. 그의 험난한 인생은 한국 현대사의 아픔과 절망을 고스란히 담고 있다. 꿈도 희망도 없는 삶이 계속되며 인간 혐오의 영역으로 들어가버린 김철수씨는 결국 모든 불행의 원인제공자인 ‘인간’을 말살하고자 마음 먹는데…!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/35/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/35/images/wide?width=1200|http://www.lezhin.com/ko/comic/ssdj2002
맨크러쉬|시루미,|BL,성인,|러브,운명,스토리,|이것은, 운명입니까?! 이리저리 휘둘려도, 망상 속에서만 가능해도... 너무 너무 좋아해서 어쩔 수 없는 각양각색의 러브스토리.|레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/6118061392527360/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6118061392527360/images/wide?width=1200|http://www.lezhin.com/ko/comic/mancrush
장인의 나라|무화,|판타지,액션,|능력,인간,사건,|늙지도 않고 죽지도 않는 존재 '장인'. 눈으로 조각을 만들고 빗소리로 음악을 만드는등 인간을 초월한 예술적 능력을 가지고 있다. 인간이 되고 싶어하는 장인 지노는 우연히 인간 백범을 만나며 사건에 휘말리게 되는데.. |레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/189/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/189/images/wide?width=1200|http://www.lezhin.com/ko/comic/a_country_of_maestri
처녀귀신 성불합니다!|루루키치,|성인,판타지,|영화,|일을 마치고 돌아오는 길에 우연히 줍게 된 DVD. 집에 돌아 와 재생 해 보니... 호러영화!? 인줄 알았더니... 이럴수가, 난데없이 원령이 모니터에서 튀어나와 덮치려고 한다...! 하지만 바로 그 때, 원령은 모니터에 허리가 끼어 꼼짝달싹 못하게 되어버렸고... 아연실색한 주인공. 하지만 이 원령, 잘 보니까 귀여운데다 가슴도 크다! 그렇다면 요 근래 계속 쌓이기만 했던 주인공이 취할 행동으로 올바른 것은?|레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/4933388343705600/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4933388343705600/images/wide?width=1200|http://www.lezhin.com/ko/comic/maidenghost
백합은 일상|곰말리,|백합,일상,|만남,꿈,소녀,|뼛속까지 레즈비언 X 꿈꾸는 백합소녀. 전혀 다른 두 사람의 엉뚱하고도 필연적인 만남. 이 평범한 여대생들의 매일매일에 주목해주세요!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5792652545228800/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5792652545228800/images/wide?width=1200|http://www.lezhin.com/ko/comic/everyday_lily
양극의 소년|은송,|학원,SF,|세계,인간,도전,혼란,여름,|2016년 여름, 감염자를 식인특성을 지닌 생물체 '웜'으로 변이시키는 전대미문의 치명적인 바이러스가 출현한다. 이에 대응하여 혼란에 빠진 세계를 구하기 위해 변이인간 '헤테로'로 구성된 국제 안전기구 ISO 역시 등장한다. 세계를 구원 힘을 가진 그들에 매료된 주인공 강하루 역시 ISO에 입단하기 위한 도전을 시작하는데.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/6037464393449472/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6037464393449472/images/wide?width=1200|http://www.lezhin.com/ko/comic/polarboys
새빨간 결혼|유승종,|로맨스,|결혼,꿈,생활,사랑,|꿈같은 내집마련을 위해서라면..사랑없이도 부부 행세가 가능하다? N포세대였던 연주와 지훈은 우연히 결혼정보업체 이벤트에 당첨되어 아파트를 얻게된다. 놓치기엔 너무 아까운 기회..결국 그들은 위장결혼을 감행하게 되는데! 그렇게 시작된 쿨하고도 아슬아슬한 가짜 부부 생활. 과연 성공할 수 있을까?|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/4996086850125824/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4996086850125824/images/wide?width=1200|http://www.lezhin.com/ko/comic/red_marriage
마도사의 탑|성상영,박승범,|판타지,액션,|사랑,마법,여행,|막강한 힘을 지닌 대마도사  '라임드'는 마법실험 실패로 무려 천년 후의 땅에 떨어지고 만다. 무일푼의 몸으로 잃어버린 탑을 재건할 방법을 찾던 그는 노예로 팔려온 '아르'와 '에르'를 만나게 되는데... 마법을 이용해 항상 돈벌 궁리를 하는 엉뚱 대마도사와, 볼수록 귀엽고 사랑스러운 묘인족 남매의 기대되는 조합! 그들의 무궁무진한 마법 여행이 지금부터 시작됩니다.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/6549740228968448/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6549740228968448/images/wide?width=1200|http://www.lezhin.com/ko/comic/wizardly_tower
관계의 우로보로스|이정윤,|학원,일상,|친구,고교,생활,고백,시절,관계,마음,|친구 없이 외로운 고교생활 중인 현. 그런 현에게 빛나던 중학 시절을 함께 해준 마니또 선우 정에게 편지가 온다. 설레는 마음으로 읽기 시작한 편지. 그러나 정은 현과 함께하던 그 시절이 악몽이었다고 고백을 하는데... 꼬리에 꼬리를 무는 어긋나버린 [관계의 우로보르스], 시작합니다.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5196408411389952/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5196408411389952/images/wide?width=1200|http://www.lezhin.com/ko/comic/ouroboros
무궁무진|김연,|학원,로맨스,|남녀,관계,|전교 2등 이무진, 그리고 전교 뒤에서 2등 이무진? 이름은 같지만 성격도 특기도 다른 두 남녀! 등수의 간격은 극과 극이어도 관계의 간격은?! 무진이들의 투닥투닥 로맨스.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/458/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/458/images/wide?width=1200|http://www.lezhin.com/ko/comic/mugung
태양초 고추장 연구소|도자기월드,개호주,|개그,성인,||내가 고자라니!!! 울고불고짜기 전에 태양초 고추장 박사를 만나라! 유명 커뮤니티 이 열광한 개호주 작가와 도자기 월드 작가의 미친 센스가 대 방출!! |레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/380/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/380/images/wide?width=1200|http://www.lezhin.com/ko/comic/gochujang
커튼콜 아래그랑|바싹탄숯,|판타지,|능력,모험,신,악마,|신의 능력 '커튼콜'을 가진 사설 심부름꾼 비기난, 책을 먹으며 식신을 다루는 '지식인' 스콘, 말괄량이 의사 콜롬보, 상냥하고 잔혹한 악마 이오나들의 모험과 배후에 숨겨진 천사와 악마의 음모가 장대하게 펼쳐지는 판타지 대 서사시!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5/images/wide?width=1200|http://www.lezhin.com/ko/comic/curtain_call
망고의 뼈|골드키위새,넋부자들,|로맨스,학원,|고교,고백,학생,|고교 수석입학 모범생 백주인은 입학 선서 때 차석 함소복에게 첫눈에 반한다. 그러나 고백 플랜은 정반대 성향의 쌍둥이 동생 백주율의 방해로 꼬여가고, 설상가상으로 평판 나쁜 같은 반 여학생 유리사까지 엮이면서 통제 불능으로 빠져드는데… 골드키위새 작가의 글에 넋부자들의 아름다운 그림, 그러나 아름답지만은 않을지도 모를 뼈 있는 이야기!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5613460917846016/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5613460917846016/images/wide?width=1200|http://www.lezhin.com/ko/comic/mangoseed
도시야월기담|님프네,욱,|판타지,BL,|러브,인간,마법,스토리,사고,|본격 다공일수 액션 배틀! 어느날 교통사고를 당한 이연은 살기 위해 뱀파이어와의 '육체의 계약'을 맺어야 했는데.... 뱀파이어, 늑대인간, 마법사, 천사까지. 이연의 '몸'을 노리는 자들과 분투하는 자극적인 19금 액션 러브 스토리!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/6463868514074624/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6463868514074624/images/wide?width=1200|http://www.lezhin.com/ko/comic/city_night
데명의 그림일기|데명,|일상,드라마,|세상,|Eat, Sleep, Shit! 이제까지 만나보지 못한 새로운 코드의 개그와 독설로 무장한 일상툰! SNS 세상에서 수많은 이들에게 일침과 치유를 안겨준 화제의 그 작품 [데명의 그림일기], 드디어 레진코믹스에서 정식연재!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5626195062816768/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5626195062816768/images/wide?width=1200|http://www.lezhin.com/ko/comic/diary_diaemyung
트러블X트러블 돌|로에트하이,|판타지,개그,|행복,생활,마법,시대,|인형과 마법이 발전된 시대, 힐러 아데르트는 일상의 적적함을 달래기 위해 메이드 마법인형 밀드를 구입한다. 그렇게 시작된 밀드와의 생활은 행복 끝, 고생시작? 히키코모리 주인님 아데르트와 주인님을 너무 좋아하는 깨발랄 마법인형 밀드의 시끌벅적 일상 이야기!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/4648163528409088/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4648163528409088/images/wide?width=1200|http://www.lezhin.com/ko/comic/troublextroubledoll
월하노인|꿀자몽,|로맨스,판타지,|그녀,운명,꿈,현실,신,수수께끼,|매일밤 꿈속에 나타나는 그녀가 현실에 나타나다! 중국에서 온 수수께끼의 미녀 라메이는 호준에게 자신이 운명의 상대라고 주장하는데.. 과연 그녀의 정체는?|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/4910621803413504/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4910621803413504/images/wide?width=1200|http://www.lezhin.com/ko/comic/undermoon
형집에서|혜룡,|개그,일상,|평화,생활,동거,대학,|10년 동안 갖은 방법으로 현재를 괴롭힌 옆집 꼬맹이 지수. 대학 입학 이후 지긋지긋한 괴롭힘에서 벗어나 평화로운 자취 생활을 즐기고 있던 현재에게 갑자기 찾아온 손님은 다름 아닌 지수?! 현재는 과연 십년지기 악연 지수와의 3년 동거를 버텨낼 수 있을까!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/4881050177634304/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4881050177634304/images/wide?width=1200|http://www.lezhin.com/ko/comic/In_his_house
김무녀는 무녓무녓해!!|리치후,|액션,판타지,|그녀,영웅,세상,인생,|16살 김무녀, 그녀의 인생에서 가장 대단한 이벤트는 치킨집 오픈, 장래희망은 치킨집 손님! 김무녀에게 세상에서 치킨보다 중요한 것은 없었다... 등교길에 마물을 만나기 전까지는! 압도적인 힘으로 사람들을 해치며 김무녀에게 다가오는 마물. 짧은 무녀의 생은 이대로 끝난 것인가 싶었던 그 순간! 그녀의 주먹 한 방에 마물이 쓰러졌다? 갑작스럽게 각성된 힘, 그리고 그녀에게 다가오는 의문의 사람들...! 자칭 미녀 김무녀의 영웅 데뷔기, 이제부터 시작합니다!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/6506490831831040/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6506490831831040/images/wide?width=1200|http://www.lezhin.com/ko/comic/munyeo
미슐랭스타 시즌 3|김송,|음식,|한국,꿈,대한민국,|한국 최초의 미슐랭스타 레스토랑을 꿈꾸는 한 젊은 쉐프의 이야기! 2013 오늘의 우리만화, 대한민국 컨텐츠 어워드 만화대상 수상작.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/309/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/309/images/wide?width=1200|http://www.lezhin.com/ko/comic/michelinstar
출근하기 싫어!|예타쿠,|드라마,일상,|꿈,신,위기,|감격스런 첫 취업! 수상한 면접을 거쳐 미심쩍은 출근길을 지나 기다리고 있는 것은... 지하실 한 켠의 초라한 사무실, 그리고 범상찮은 팀원들! 내가 꿈꾸던 사회인의 로망은 이게 아닌데에-!! 위기의 신입사원 정우의 외마디 비명 [출근하기 싫어!]|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5280278628532224/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5280278628532224/images/wide?width=1200|http://www.lezhin.com/ko/comic/go_to_work
극야|깡이,|BL,SF,|미래,남자,마음,|혼자가 익숙했던 일상에 마음을 흔드는 존재가 나타났다. 구형 안드로이드를 주운 남자의 일상이 변하기 시작하고... 근미래를 배경으로 하는 판타지 BL|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/238/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/238/images/wide?width=1200|http://www.lezhin.com/ko/comic/polar_night
여름밤소년|온잠,|판타지,드라마,|소년,남자,신,동거,여름,|깊은 산 중턱에 인적 드문 한 산장. 그 곳에서 농사나 짓고 책이나 읽으며 살던 신범의의 조용할 것 같은 일상은 어느날 갑자기 깨지고 만다. 비가 내리는 밤, 불현듯 나타난 한 소년으로 인해... 여름 밤을 일상으로부터 끄집어낸 한 소년과, 그 소년을 거둔 남자의 동거 이야기.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5123036164653056/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5123036164653056/images/wide?width=1200|http://www.lezhin.com/ko/comic/summerboy
메르헨|연두부,|BL,판타지,|동화,능력,남자,신,연애,|사람 사이의 인연을 붉은 실의 형태로 보는 능력을 가진 신선우, 그는 연애를 동화책으로 배운 일명 '모태솔로'이다. 어느 날 한 사람에게만 얽매이지 않는 '자유연애주의자' 임주완과의 악연으로 자신이 숨겨오던 능력을 그에게 들켜버리고 마는데...정 반대의 연애관을 가진 두 남자의 붉은 실을 둘러싼 아슬아슬한 밀고 당기기|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5464597144797184/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5464597144797184/images/wide?width=1200|http://www.lezhin.com/ko/comic/marchen
나의 침묵에|마대,검둥,|드라마,학원,|과거,그녀,인간,스토리,관계,|레포트 쓰다가 들어간 SNS에서 우연히 접한 그녀의 소식. 오해에서 시작된 나의 한 마디에 완전히 무너져버린 그녀의 인간관계... 하지만 나는 그런 말을 한 적이 없다. 그리고 다가오는 과거의 무거운 진실... [따라바람] [가생가] 검둥 작가의 그림으로 풀어내는 마대 작가의 치밀한 스토리!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/6010920042496000/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6010920042496000/images/wide?width=1200|http://www.lezhin.com/ko/comic/no_words
수줍어서 그래|심모람,|일상,||'소심하다고 하지 마세요, 수줍어서 그런 거예요' 양자리의 트리플 A형, 자타공인 소심人 심모람의 내 맘 닮은 이야기! |레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/489/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/489/images/wide?width=1200|http://www.lezhin.com/ko/comic/yesiamshy
골동|권동현,|드라마,미스터리,|싸움,전설,비밀,신,|어느 깊은 산 속 암자 아미사의 주지인 무형의 골동품을 노리는 도자기 연구가 영민. 그가 무형에게서 빼돌린 찻잔은 전설의 도선 대사 찻잔으로 신비로운 비밀을 담고 있다. 골동품 시장을 뜨겁게 달군 그 전설의 찻잔을 노리는 전국 각지의 수집가들, 그리고 보물을 되찾기 위한 무형과 영민의 얽히고설키는 두뇌 싸움이 펼쳐진다.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5156658229805056/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5156658229805056/images/wide?width=1200|http://www.lezhin.com/ko/comic/antique
나오미|서지,|액션,|여자,인생,|프로복서를 지망하는 토니의 잣 같은 인생에 한줄기 청량음료같은 여자, 나오미가 나타났다. |레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/230/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/230/images/wide?width=1200|http://www.lezhin.com/ko/comic/naomi
달댕이는 12년차|다드래기,|일상,|결혼,세상,삶,|만난지 12년차, 서로를 너무 속속들이 알아서 설레임보다는 익숙함을 느끼는 30대 장수커플 달수와 댕시의 살아가는 이야기. 결혼, 육아, 지난한 삶의 모순과 부조리에 대해서 날카롭게 쓴소리를 하는 달수와 댕시지만 그들이 세상을 보는 시선만큼은 한없이 따스하다.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/21/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/21/images/wide?width=1200|http://www.lezhin.com/ko/comic/daldang_10
그림 그리는 생각|안순현,|일상,|사랑,생각,마음,|기쁨, 슬픔, 사랑, 그리움... 우리의 마음을, 우리의 생각을 그린다|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/6016680231174144/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6016680231174144/images/wide?width=1200|http://www.lezhin.com/ko/comic/drawingmind
네버마인드|이규환,|학원,드라마,|여고생,결심,사건,신,|공황장애에 걸린 음악 천재 여고생 지우. 뮤지션 형을 잃은 상실감을 지우를 통해 위로받던 담임 민식. 둘은 돌파구를 찾기 위해 오디션 프로그램 참가를 결심한다. 그러나 오디션 예선 첫날, 지우에게 의외의 사건이 닥치는데...! 유세윤과 함께 웹툰 [유턴]을 그려낸 이규환 작가의 스피릿 충만한 신작!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5628161674444800/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5628161674444800/images/wide?width=1200|http://www.lezhin.com/ko/comic/nevermind
애늙은이|환댕,|판타지,액션,|그녀,운명,남자,소녀,|견습기사 트루디아는 넘치는 혈기에 그만 기사단에서 쫓겨나고 만다. 갈 곳을 찾아 방황하는 그때, 강도의 위협을 받는 노인을 보고만 트루디아. 무작정 구하기 위해 달려간 그곳에서 그녀의 운명을 바꿀 남자를 만나는데..! 죽어 가는 소녀와 죽지 않는 남자의 치열한 생명의 줄다리기.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/6217220923850752/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6217220923850752/images/wide?width=1200|http://www.lezhin.com/ko/comic/gilgamesh
